id,client_id,transaction,amount,date,status
T00000001,CUS000409,Withdrawal,5418.70,2025-07-11,Failed
T00000002,CUS000973,Withdrawal,9711.30,2025-07-12,Completed
T00000003,CUS000534,Withdrawal,4463.23,2025-09-10,Completed
T00000004,CUS000728,Withdrawal,3100.95,2025-06-29,Pending
T00000005,CUS000296,Withdrawal,9643.08,2025-07-08,Pending
T00000006,CUS000634,Withdrawal,9555.91,2025-05-29,Completed
T00000007,CUS000890,Withdrawal,2838.92,2025-07-31,Pending
T00000008,CUS000167,Withdrawal,6083.90,2025-07-26,Completed
T00000009,CUS000039,Deposit,871.45,2025-08-22,Completed
T00000010,CUS000740,Deposit,3840.38,2025-06-16,Failed
T00000011,CUS000700,Deposit,1080.56,2025-08-18,Completed
T00000012,CUS000769,Deposit,2047.47,2025-09-05,Completed
T00000013,CUS000926,Deposit,8943.38,2025-06-25,Completed
T00000014,CUS000887,Deposit,9189.02,2025-06-08,Pending
T00000015,CUS000475,Withdrawal,7261.02,2025-06-03,Completed
T00000016,CUS000305,Deposit,7175.84,2025-07-20,Completed
T00000017,CUS000032,Withdrawal,5529.49,2025-08-12,Completed
T00000018,CUS000725,Withdrawal,1607.99,2025-08-03,Completed
T00000019,CUS000171,Deposit,1275.87,2025-07-12,Completed
T00000020,CUS000394,Withdrawal,8403.13,2025-09-20,Completed
T00000021,CUS000061,Deposit,5637.25,2025-09-07,Failed
T00000022,CUS000859,Deposit,4330.71,2025-08-04,Completed
T00000023,CUS000407,Deposit,1442.77,2025-08-03,Completed
T00000024,CUS000515,Withdrawal,9417.44,2025-09-03,Completed
T00000025,CUS000474,Deposit,5336.49,2025-08-09,Failed
T00000026,CUS000286,Withdrawal,364.00,2025-07-10,Completed
T00000027,CUS000808,Deposit,4580.80,2025-08-15,Completed
T00000028,CUS000411,Deposit,3570.58,2025-07-01,Pending
T00000029,CUS000759,Deposit,3163.99,2025-07-30,Pending
T00000030,CUS000589,Deposit,9568.43,2025-06-01,Completed
T00000031,CUS000979,Deposit,2682.16,2025-06-29,Completed
T00000032,CUS000060,Withdrawal,1022.05,2025-06-05,Completed
T00000033,CUS000528,Deposit,3078.27,2025-07-04,Completed
T00000034,CUS000193,Deposit,2880.78,2025-09-13,Completed
T00000035,CUS000228,Withdrawal,6568.92,2025-05-29,Failed
T00000036,CUS000906,Deposit,5385.32,2025-09-20,Completed
T00000037,CUS000515,Deposit,4844.90,2025-07-21,Completed
T00000038,CUS000025,Deposit,5706.92,2025-07-15,Completed
T00000039,CUS000586,Deposit,8534.75,2025-06-29,Pending
T00000040,CUS000332,Withdrawal,4233.41,2025-07-27,Completed
T00000041,CUS000568,Withdrawal,5964.76,2025-09-16,Completed
T00000042,CUS000053,Withdrawal,9778.60,2025-06-29,Completed
T00000043,CUS000546,Deposit,2085.56,2025-08-05,Completed
T00000044,CUS000549,Withdrawal,1772.20,2025-06-15,Completed
T00000045,CUS000957,Withdrawal,9625.68,2025-07-24,Completed
T00000046,CUS000896,Deposit,7802.71,2025-08-05,Pending
T00000047,CUS000326,Withdrawal,3582.93,2025-07-22,Completed
T00000048,CUS000668,Deposit,389.87,2025-08-31,Pending
